ID,Title,Alias,Introtext,Publish Up,Publish Down,Created,hits,Image,Meta Description,Meta Keywords,catid,product_code,ampere,voltage,cells,guaranty,Replacement For :
954,باتری لپ تاپ اپل مدل Battery Original Apple A1706,باتری-لپ-تاپ-اپل-مدل-battery-original-apple-a1706,"<p><strong>باتری لپ تاپ اپل مدل  A1706 </strong> برای لپ تاپ های سری:</p>
<ul>
<li>Apple MacBook 13"" <span class=""highlight"">A1706</span> Late 2016</li>
<li>Apple MacBook 13"" <span class=""highlight"">A1706</span> Mid 2017</li>
<li>Apple MacBook Pro 13 inch TOUCH <span class=""highlight"">A1706</span>(Late 2016) Series</li>
<li>Apple MacBook Pro 13 inch TOUCH <span class=""highlight"">A1706</span>(Mid 2017) Series</li>
</ul>
<p> انواع پارت نامبرهای مشابه :A1706 , A1819</p>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل  A1706  شامل<strong>  4 ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل  A1706  می توانید با کارشناس های ما از طریق شماره ی 02166463720 در تماس باشید .</p>",1399-09-29 20:34:16,0000-00-00 00:00:00,1399-09-29 20:34:16,627,IMAGEPATHKH/1148c0c947ba828ea344776aa0a78f01.jpg,,,74,323,49.2Wh/4314mAh,11.41V,,چهار ماهه نارین,3200000
955,باتری لپ تاپ اپل مدل Battery Original Apple A1618,باتری-لپ-تاپ-اپل-مدل-battery-original-apple-a1618,"<p><strong>باتری لپ تاپ اپل مدل   A1618 </strong> برای لپ تاپ های سری:</p>
<ul>
<li>Apple  A1618</li>
<li>Apple MacBook Pro 15” A1398 2015 Year</li>
<li>Apple MacBook Pro 15.4” A1398 2015 Year</li>
<li>Apple MacBookPro11</li>
</ul>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل  A1618  شامل <strong>4 ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل  A1618  می توانید با کارشناس های ما از طریق شماره 02166463720 در تماس باشید .</p>",0778-06-25 20:34:16,0000-00-00 00:00:00,0778-06-25 20:34:16,640,IMAGEPATHKH/59bbfcb2e1844b9599ff015000348c7d.jpg,,,74,324,8755mAh/99.5Wh,11.36V,,چهار ماهه نارین,3100000
956,باتری لپ تاپ اپل مدل Battery Original Apple A1707,باتری-لپ-تاپ-اپل-مدل-battery-original-apple-a1707,"<p><strong>باتری لپ تاپ اپل مدل  A1707 </strong> برای لپ تاپ های سری:</p>
<ul>
<li>APPLE A1707</li>
<li>APPLE A1820</li>
<li>APPLE MacBook Pro 15"" <span class=""highlight"">A1707</span> 2016</li>
<li>APPLE MacBook Pro 15"" <span class=""highlight"">A1707</span> 2017</li>
<li>APPLE MacBook Pro 15"" <span class=""highlight"">A1707 </span>Touch 2016</li>
<li>APPLE MacBook Pro 15"" <span class=""highlight"">A1707 </span>Touch 2017</li>
</ul>
<p> انواع پارت نامبرهای مشابه :  A1707 , A1820</p>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل A1707 شامل<strong> 4 ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل A1707  می توانید با کارشناس های ما از طریق شماره ی 02166463720 در تماس باشید .</p>",0778-05-13 20:34:16,0000-00-00 00:00:00,0778-05-13 20:34:16,551,IMAGEPATHKH/873599ca0af52bdbb5630522d6563fd5.jpg,,,74,325,76Wh/6667mAh,11.4V,,چهار ماهه نارین,4700000
963,باتری لپ تاپ اپل مدل Battery Original Apple A1708,باتری-لپ-تاپ-اپل-مدل-battery-original-apple-a1708,"<p><strong>باتری لپ تاپ اپل مدل  A1708 </strong> برای لپ تاپ های سری:</p>
<ul>
<li>Apple A1708</li>
<li>Apple A1713</li>
<li>(Apple MacBook Pro 13 inch <span class=""highlight"">A1708</span>(Late 2016</li>
<li>(Apple MacBook Pro 13 inch <span class=""highlight"">A1708</span>(Mid 2017</li>
<li>Apple MacBook Pro 13.3 inch Retina <span class=""highlight"">A1708</span></li>
</ul>
<p> انواع پارت نامبرهای مشابه :A1713 , A1708</p>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل  <strong>A1708</strong> شامل<strong>  4 ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل  <strong>A1708</strong> می توانید با کارشناس های ما از طریق شماره ی 02166463720 در تماس باشید .</p>",0778-06-25 20:34:16,0000-00-00 00:00:00,0778-06-25 20:34:16,493,IMAGEPATHKH/1e8d6dc02986e7e13576b16a6f372759.jpg,,,74,326,54.5Wh/4781mAh,11.4V,,چهار ماهه نارین,3100000
970,باتری لپ تاپ اپل مدل Battery Original Apple A1965,باتری-لپ-تاپ-اپل-مدل-battery-original-apple-a1965,"<div class=""inlinefaketitle"">
<p><strong>باتری لپ تاپ اپل مدل  A1965</strong> برای لپ تاپ های سری:</p>
<ul>
<li>Apple Macbook Air Retina A1932</li>
<li>Apple <span class=""highlight"">A1965</span> Series </li>
</ul>
<p> انواع پارت نامبرهای مشابه :A1932 , A1965</p>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل  A1965  شامل<strong> 6 ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل  A1965  می توانید با کارشناس های ما از طریق شماره ی 02166463720 در تماس باشید .</p>
</div>",1399-09-29 20:34:16,0000-00-00 00:00:00,1399-09-29 20:34:16,350,IMAGEPATHKH/32cf2b18bc061b77e56b5783aff01222.jpg,,,74,327,49.9Wh/4379mAh,11.40V,,شش ماهه نارین,3950000
982,باتری لپ تاپ اپل مدل Battery Original Apple A1953,باتری-لپ-تاپ-اپل-مدل-battery-original-apple-a1953,"<p><strong>باتری لپ تاپ اپل مدل A1953</strong> برای لپ تاپ های سری:</p>
<ul>
<li>Apple MacBook Pro 15"" A1990 2018</li>
<li>Apple MacBook Pro 15"" A1990 2019 </li>
</ul>
<p> انواع پارت نامبرهای مشابه :A1990 , A1953</p>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل A1953 شامل<strong> 4 ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل A1953 می توانید با کارشناس های ما از طریق شماره ی 02166463720 در تماس باشید .</p>",1399-11-29 20:34:16,0000-00-00 00:00:00,1399-11-29 20:34:16,231,IMAGEPATHKH/937d96879d6edd9b329e7774b441a1f4.jpg,,,74,328,7336mAh/83.6Wh,11.4V,,چهار ماهه نارین,4720000
1046,باتری لپ تاپ اپل مدل Battery Original Apple A1705,باتری-لپ-تاپ-اپل-مدل-battery-original-apple-a1705,"<div class=""inlinefaketitle"">
<p><strong>باتری لپ تاپ اپل مدل A1705</strong> برای لپ تاپ های سری:</p>
<ul>
<li>Apple MacBook A1534 2016</li>
<li>Apple MacBook  A1705</li>
<li>""Apple MacBook 12</li>
</ul>
<p> انواع پارت نامبرهای مشابه :A1534 , A1705</p>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل A1705 شامل<strong> 4 ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل A1705 می توانید با کارشناس های ما از طریق شماره ی 02166463720 در تماس باشید .</p>
</div>",1399-12-01 20:34:16,0000-00-00 00:00:00,1399-12-01 20:34:16,93,IMAGEPATHKH/f64f51f7a96bb14202569a0586002bf4.jpg,,,74,,5474mAh/41.41Wh,7.56V,,چهار ماهه نارین,3800000
1060,باتری لپ تاپ اپل مدل Battery Original Apple A2113,باتری-لپ-تاپ-اپل-مدل-battery-original-apple-a2113,"<p><strong>باتری لپ تاپ اپل مدل A2113</strong> برای لپ تاپ های سری:</p>
<ul>
<li>Apple MacBook Pro A2141 2019</li>
</ul>
<p> انواع پارت نامبرهای مشابه :A2141 , A2113</p>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل A2113 شامل<strong> 4 ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل A2113 می توانید با کارشناس های ما از طریق شماره ی 02166463720 در تماس باشید .</p>",1400-01-09 20:34:16,0000-00-00 00:00:00,1400-01-09 20:34:16,78,IMAGEPATHKH/4f4d9fa294e26f44f90908a15cafba41.jpg,,,74,,99.8Wh/8790mAh,11.36V,,چهار ماهه نارین,6300000
1096,باتری لپ تاپ اپل مدل Battery Original Apple A2171,باتری-لپ-تاپ-اپل-مدل-battery-original-apple-a2171,"<p><strong>باتری لپ تاپ اپل مدل Apple A2171 </strong>برای لپ تاپ های سری:</p>
<ul>
<li>Apple Macbook Pro Retina 13.3 A2159 2019</li>
</ul>
<p> انواع پارت نامبرهای مشابه :A2159 , A21713</p>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل Apple A2171  شامل<strong> 4 ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل Apple A2171  می توانید با کارشناس های ما از طریق شماره ی 02166463720 در تماس باشید .</p>",0778-12-16 20:34:16,0000-00-00 00:00:00,0778-12-16 20:34:16,27,IMAGEPATHKH/42770aa1de64ddfe6105cdd213adfa9d.jpg,,,74,,58.2Wh/5103mAh,11.41V,,چهار ماهه نارین,5900000
1103,باتری لپ تاپ اپل مدل Battery Original Apple A1527,باتری-لپ-تاپ-اپل-مدل-battery-original-apple-a1527,"<p><strong>باتری لپ تاپ اپل مدل Apple A1527 </strong>برای لپ تاپ های سری:</p>
<ul>
<li>Apple Macbook 12"" Retina A1534 2015 Year</li>
<li>Apple Macbook 12"" Retina A1534 2017 Year</li>
</ul>
<p> انواع پارت نامبرهای مشابه :A1527 , A1534</p>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل Apple A1527  شامل<strong> 4 ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل Apple A1527  می توانید با کارشناس های ما از طریق شماره ی 02166463720 در تماس باشید .</p>",1400-03-18 20:34:16,0000-00-00 00:00:00,1400-03-18 20:34:16,30,IMAGEPATHKH/576634a42c4a68b90d534f03316d9d02.jpg,,,74,,39.71Wh/5263mAh,7.55V,,چهار ماهه نارین,3450000
1116,باتری لپ تاپ اپل مدل Battery Original Apple A1425,باتری-لپ-تاپ-اپل-مدل-battery-original-apple-a1425,"<p><strong>باتری لپ تاپ اپل مدل A1425 </strong>برای لپ تاپ های سری:</p>
<ul>
<li>Apple MacBook Pro 13"" Retina A1425 2012 Year</li>
<li>Apple MacBook Pro 13"" Retina A1437 2012 Year</li>
</ul>
<p> انواع پارت نامبرهای مشابه :A1437 , A1425</p>
<p>این باتری ها به صورت کاملا <strong>اورجینال</strong> عرضه می شود .</p>
<p><strong>باتری اورجینال لپ تاپ</strong> اپل مدل A1425  شامل<strong> 4 ماه گارانتی</strong> می باشد.</p>
<p>برای خرید باتری لپ تاپ اپل مدل A1425  می توانید با کارشناس های ما از طریق شماره ی 02166463720 در تماس باشید .</p>",6/19/2021 19:30,0000-00-00 00:00:00,6/19/2021 19:30,20,IMAGEPATHKH/b5eb64b92ec2bc303a0ab3ae5d25b105.jpg,,,74,,74Wh,11.21V,,چهار ماهه نارین,
648,باتری لپ تاپ ایسوس مدل  Battery Orginal Asus R542,باتری-لپ-تاپ-ایسوس-مدل-battery-orginal-asus-r542,"<p><strong>باتری لپ تاپ ایسوس مدل  R542 </strong>برای لپ تاپ های سری:</p>
<ul>
<li>ASUS VivoBook X542</li>
<li>ASUS VivoBook X542U</li>
<li>ASUS VivoBook X542UF</li>
<li>ASUS VivoBook R542UF</li>
<li>ASUS Vivobook F542UA</li>
<li>ASUS Vivobook P1501</li>
<li>ASUS Vivobook P1510</li>
<li>ASUS Vivobook A580</li>
<li>ASUS Vivobook A542U</li>
<li>ASUS Vivobook FL8000U</li>
<li>ASUS Vivobook FL5900L</li>
</ul>
<p><span style=""color: #ff0000;""><strong>برای اطمینان از اصالت باتری ها ، میتوانید صفحه اینستاگرام ما را دنبال کنید :</strong></span></p>
<p style=""text-align: right;"">                                        <a href=""https://www.instagram.com/orgbattery"">instagram:orgbattery</a></p>
<p>این باتری ها به صورت کاملا اورجینال عرضه می شود .</p>
<p>باتری اورجینال لپ تاپ ایسوس مدل R542<strong> </strong>شامل <strong>4 ماه گارانتی</strong> می باشد .</p>
<p>برای خرید باتری لپ تاپ ایسوس  مدل R542  می توانید با کارشناس های ما از طریق شماره ی 02166463720 در تماس باشید .</p>",0778-10-23 20:34:16,0000-00-00 00:00:00,1400-01-22 20:34:16,3333,IMAGEPATHKH/21615ff211c60b43d866a2b2bca320da.jpg,,,75,83,38Wh,7.6,3,چهار ماهه نارین,1270000
649,باتری لپ تاپ ایسوس مدل  Battery Orginal Asus S451,باتری-لپ-تاپ-ایسوس-مدل-battery-orginal-asus-s451,"<p><strong>باتری لپ تاپ ایسوس مدل  S451 </strong>برای لپ تاپ های سری:</p>
<ul>
<li>ASUS VivoBook S451</li>
<li>ASUS VivoBook S451LA</li>
<li>ASUS VivoBook S451LB</li>
<li>ASUS VivoBook S451LN</li>
</ul>
<p> </p>
<p><span style=""color: #ff0000;""><strong>برای اطمینان از اصالت باتری ها ، میتوانید صفحه اینستاگرام ما را دنبال کنید :</strong></span></p>
<p style=""text-align: right;"">                                        <a href=""https://www.instagram.com/orgbattery"">instagram:orgbattery</a></p>
<p>این باتری ها به صورت کاملا اورجینال عرضه می شود .</p>
<p>باتری اورجینال لپ تاپ ایسوس مدل S451<strong> </strong>شامل 6 ماه گارانتی می باشد .</p>
<p>برای خرید باتری لپ تاپ ایسوس  مدل S451  می توانید با کارشناس های ما در تماس باشید .</p>",12/23/2020 20:30,0000-00-00 00:00:00,1398-11-15 20:34:16,8,IMAGEPATHKH/e4695529e9bbf8b60b6165d76397876b.jpg,,,75,4,46 وات ساعت,,6,شش ماهه نارین,
